season,model_family,model_ids,matchweeks_scored,fixtures_scored,hda_log_loss,hda_brier_score,hda_top1_accuracy,goal_mae,hda_correct,goal_bias,total_goals_mae,over_2_5_available,over_2_5_selected,over_2_5_won,over_2_5_lost,over_2_5_hit_rate,over_2_5_coverage,btts_available,btts_selected,btts_won,btts_lost,btts_hit_rate,btts_coverage
2026-27,dynamic-dixon-coles,dynamic-dixon-coles-incumbent-2026-27-v1,1,10,0.949651401679,0.558339353456,0.6,0.890227964678,6,0.151202425659,0.892122730993,10,10,6,4,0.6,1.0,10,10,5,5,0.5,1.0
2026-27,elo-poisson,fixed-elo-neutral-reentry-poisson-v1 | fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,2,20,0.977116032416,0.582892800558,0.5,0.978723937874,10,0.165599036263,1.408265888432,20,20,11,9,0.55,1.0,20,20,11,9,0.55,1.0
