season,matchweek,fixture_key,model_family,model_id,home_team,away_team,market,p_yes,p_selected,predicted_yes,selection,observed_yes,selected,won,probability_method,retrospectively_derived
2026-27,1,epl-mw01-01,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Arsenal,Coventry City,btts,0.480178263389,0.519821736611,False,BTTS_NO,0,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-02,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Hull City,Manchester United,over_2_5,0.516381553249,0.516381553249,True,OVER,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-02,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Hull City,Manchester United,btts,0.532136257144,0.532136257144,True,BTTS_YES,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-03,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Everton,Crystal Palace,over_2_5,0.508321240712,0.508321240712,True,OVER,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-03,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Everton,Crystal Palace,btts,0.544803185889,0.544803185889,True,BTTS_YES,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-04,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Ipswich Town,Sunderland,over_2_5,0.502783664338,0.502783664338,True,OVER,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-04,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Ipswich Town,Sunderland,btts,0.544816489423,0.544816489423,True,BTTS_YES,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-05,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Nottingham Forest,Leeds United,over_2_5,0.511386473872,0.511386473872,True,OVER,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-05,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Nottingham Forest,Leeds United,btts,0.543554962746,0.543554962746,True,BTTS_YES,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-06,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Brentford,Tottenham Hotspur,over_2_5,0.524317656718,0.524317656718,True,OVER,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-06,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Brentford,Tottenham Hotspur,btts,0.537427063349,0.537427063349,True,BTTS_YES,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-07,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Brighton & Hove Albion,Aston Villa,over_2_5,0.503123610529,0.503123610529,True,OVER,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-07,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Brighton & Hove Albion,Aston Villa,btts,0.546054839392,0.546054839392,True,BTTS_YES,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-08,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Manchester City,AFC Bournemouth,over_2_5,0.537597063794,0.537597063794,True,OVER,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-08,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Manchester City,AFC Bournemouth,btts,0.530593126896,0.530593126896,True,BTTS_YES,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-09,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Newcastle United,Liverpool,over_2_5,0.502648752641,0.502648752641,True,OVER,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-09,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Newcastle United,Liverpool,btts,0.545153661651,0.545153661651,True,BTTS_YES,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-10,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Fulham,Chelsea,over_2_5,0.504919738883,0.504919738883,True,OVER,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,1,epl-mw01-10,elo-poisson,fixed-elo-neutral-reentry-poisson-v1,Fulham,Chelsea,btts,0.545899234865,0.545899234865,True,BTTS_YES,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-01,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Crystal Palace,Manchester City,over_2_5,0.525136509826,0.525136509826,True,OVER,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-01,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Crystal Palace,Manchester City,btts,0.544598182177,0.544598182177,True,BTTS_YES,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-02,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Liverpool,Nottingham Forest,over_2_5,0.536590689709,0.536590689709,True,OVER,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-02,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Liverpool,Nottingham Forest,btts,0.526866279547,0.526866279547,True,BTTS_YES,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-03,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,AFC Bournemouth,Everton,over_2_5,0.521965768724,0.521965768724,True,OVER,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-03,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,AFC Bournemouth,Everton,btts,0.537931819722,0.537931819722,True,BTTS_YES,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-04,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Coventry City,Hull City,over_2_5,0.511308745381,0.511308745381,True,OVER,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-04,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Coventry City,Hull City,btts,0.547092923926,0.547092923926,True,BTTS_YES,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-05,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Tottenham Hotspur,Newcastle United,over_2_5,0.508990608813,0.508990608813,True,OVER,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-05,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Tottenham Hotspur,Newcastle United,btts,0.550767841046,0.550767841046,True,BTTS_YES,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-06,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Chelsea,Brighton & Hove Albion,over_2_5,0.512805945903,0.512805945903,True,OVER,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-06,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Chelsea,Brighton & Hove Albion,btts,0.545645438659,0.545645438659,True,BTTS_YES,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-07,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Leeds United,Brentford,over_2_5,0.509505626791,0.509505626791,True,OVER,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-07,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Leeds United,Brentford,btts,0.549136594552,0.549136594552,True,BTTS_YES,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-08,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Sunderland,Fulham,over_2_5,0.510881816356,0.510881816356,True,OVER,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-08,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Sunderland,Fulham,btts,0.547532588371,0.547532588371,True,BTTS_YES,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-09,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Manchester United,Ipswich Town,over_2_5,0.559001331603,0.559001331603,True,OVER,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-09,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Manchester United,Ipswich Town,btts,0.511001446612,0.511001446612,True,BTTS_YES,1,1,1,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-10,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Aston Villa,Arsenal,over_2_5,0.512283233376,0.512283233376,True,OVER,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
2026-27,2,epl-mw02-10,elo-poisson,fixed-elo-neutral-reentry-poisson-v1-post-mw1-refit,Aston Villa,Arsenal,btts,0.550375687496,0.550375687496,True,BTTS_YES,0,1,0,retrospective_original_lambdas_unbounded_independent_poisson,True
